no,name_tr,cas,aa_river,mac_river,aa_coastal,mac_coastal,asterisk_unexplained
239,Tiametokzam,153719-23-4,20.0,20.0,20.0,20.0,False
240,Tidiazuron,51707-55-2,10.0,61.0,10.0,61.0,False
241,Tiometon,640-15-3,0.01,47.0,0.01,0.1,False
242,Tiofanat-metil,23564-05-8,42.0,42.0,42.0,42.0,False
243,Tolklofos-metil,57018-04-9,1.2,7.0,1.2,7.0,False
244,Tolfenpirad,129558-76-5,0.2,0.2,0.2,0.2,False
245,Triasulfuron,82097-50-5,0.012,0.12,1.8,1.8,False
246,Tribenuron-metil,101200-48-0,0.04,0.08,0.04,0.08,False
247,Trifloksistrobin,141517-21-7,42.0,42.0,42.0,42.0,False
248,Triflumuron,64628-44-0,0.23,0.23,0.23,0.23,False
249,Trinekzapak-etil,95266-40-3,13.0,86.0,13.0,86.0,False
250,Vinklozolin,50471-44-8,1.1,84.0,1.1,84.0,False
1,Alaklor,15972-60-8,0.3,0.7,0.3,0.7,False
2,Antrasen,120-12-7,0.1,0.4,0.1,0.4,False
3,Atrazin,1912-24-9,0.6,2.0,0.6,2.0,False
4,Benzen,71-43-2,10.0,50.0,8.0,50.0,False
8,Klorfenvinfos,470-90-6,0.1,0.3,0.1,0.3,False
9,Klorpirifos (Klorpirifos-etil),2921-88-2,0.03,0.1,0.03,0.1,False
13,Diuron,330-54-1,0.2,1.8,0.2,1.8,False
14,Endosulfan,115-29-7,0.005,0.01,0.0005,0.004,False
15,Floranten,206-44-0,0.0063,0.12,0.0063,0.12,False
18,Hekzakloro-siklohekzan,608-73-1,0.02,0.04,0.002,0.02,False
19,Isoproturon,34123-59-6,0.3,1.0,0.3,1.0,False
22,Naftalin,91-20-3,2.0,130.0,2.0,130.0,False
27,Pentakloro-fenol,87-86-5,0.4,1.0,0.4,1.0,False
29,Simazin,122-34-9,1.0,4.0,1.0,4.0,False
36,Kinoksifen,124495-18-7,0.15,2.7,0.015,0.54,False
38,Aklonifen,74070-46-5,0.12,0.12,0.012,0.012,False
39,Bifenoks,42576-02-3,0.012,0.04,0.0012,0.004,False
40,Sibutrin,28159-98-0,0.0025,0.016,0.0025,0.016,False
45,Terbutrin,886-50-0,0.065,0.34,0.0065,0.034,False
