cas,substance,standard_ug_l,n_limits,loq_p10,loq_p25,loq_p50,loq_p75,loq_p90,n_limits_recent,loq_p25_recent,loq_p50_recent,loq_p75_recent,recent_from
105827-78-9,Imidacloprid,0.0068,346,0.0006,0.001,0.005,0.01,0.02,0,,,,2020
107-06-2,"1,2-Dichloroethane",10,20528,0.1,0.2,0.5,1,2,7684,0.5,0.5,1,2020
1071-83-6,Glyphosate,0.1,11218,0.03,0.03,0.05,0.07,0.1,7626,0.03,0.05,0.05,2020
111988-49-9,Thiacloprid,0.01,5820,0.005,0.01,0.01,0.02,0.025,4622,0.01,0.01,0.02,2020
111991-09-4,Nicosulfuron,0.0087,1360,0.005,0.01,0.02,0.025,0.03,1153,0.01,0.02,0.025,2020
114-07-8,Erythromycin,0.5,1374,0.01,0.01,0.02,0.04,0.04,902,0.02,0.04,0.04,2020
115-29-7,Endosulfan,0.005,3460,0.0005,0.0005,0.001,0.005,0.02,1662,0.0005,0.0005,0.001,2020
115-32-2,Dicofol,0.00445,12469,0.0001,0.00039,0.001,0.01,0.02,7989,0.00039,0.0005,0.001,2020
117-81-7,Di(2-ethylhexyl)- phthalate (DEHP),1.3,6968,0.05,0.2,0.5,1,1,1462,0.3,0.4,0.9,2020
120-12-7,Anthracene,0.1,20518,0.001,0.001,0.005,0.01,0.02,7825,0.001,0.002,0.005,2020
124495-18-7,Quinoxyfen,0.15,12062,0.0005,0.001,0.005,0.01,0.02,8250,0.0005,0.002,0.01,2020
127-18-4,Tetrachloroethylene,10,19698,0.1,0.2,0.5,1,1,7496,0.5,0.5,1,2020
135410-20-7,Acetamiprid,0.037,3179,0.005,0.01,0.01,0.02,0.03,2274,0.01,0.01,0.02,2020
138261-41-3,Imidacloprid,0.0068,5396,0.005,0.008,0.01,0.01,0.02,4309,0.005,0.01,0.01,2020
15307-86-5,Diclofenac,0.04,2853,0.005,0.005,0.02,0.02,0.08,1316,0.005,0.02,0.08,2020
153719-23-4,Thiamethoxam,0.04,3539,0.005,0.01,0.01,0.02,0.03,2460,0.01,0.01,0.025,2020
15687-27-1,Ibuprofen,0.14,1584,0.005,0.005,0.01,0.02,0.025,668,0.005,0.01,0.02,2020
1582-09-8,Trifluralin,0.03,23318,0.001,0.001,0.005,0.02,0.03,8531,0.001,0.001,0.004,2020
206-44-0,Fluoranthene,0.000762,20183,0.001,0.001,0.003,0.01,0.01,8088,0.001,0.002,0.003,2020
210880-92-5,Clothianidin,0.01,2963,0.005,0.01,0.01,0.02,0.03,2272,0.01,0.01,0.02,2020
28159-98-0,Cybutryne,0.0025,11015,0.001,0.001,0.002,0.01,0.02,8189,0.001,0.002,0.002,2020
2921-88-2,Chlorpyrifos (Chlorpyrifos-ethyl),0.00046,23974,0.001,0.002,0.009,0.02,0.03,8790,0.001,0.002,0.005,2020
298-46-4,Carbamazepine,2.5,1637,0.005,0.005,0.005,0.01,0.02,649,0.005,0.005,0.01,2020
330-54-1,Diuron,0.049,21923,0.005,0.01,0.02,0.02,0.05,8593,0.01,0.01,0.02,2020
3380-34-5,Triclosan,0.02,1278,0.005,0.01,0.01,0.025,0.03,439,0.01,0.02,0.03,2020
34123-59-6,Isoproturon,0.3,22052,0.005,0.01,0.02,0.04,0.05,8739,0.01,0.01,0.02,2020
36643-28-4,Tributyltin compounds (17 ) (Tributyltin-cation),0.0002,4284,5e-05,0.0001,0.0001,0.0005,0.008,617,0.0001,0.0001,0.0005,2020
42576-02-3,Bifenox,0.012,11127,0.0005,0.001,0.002,0.01,0.05,8195,0.001,0.0012,0.0025,2020
50-29-3,DDT total ( 11 ),0.025,21863,0.0005,0.001,0.001,0.005,0.01,8763,0.0005,0.001,0.001,2020
52315-07-8,Cypermethrin ( 22 ),3e-05,7102,8e-05,0.0002,0.0005,0.01,0.05,4490,8e-05,0.0005,0.001,2020
52645-53-1,Permethrin,0.00027,2632,0.001,0.005,0.02,0.03,0.05,1264,0.001,0.005,0.01,2020
52918-63-5,Deltamethrin,1.7e-06,1125,0.001,0.005,0.02,0.025,0.03,1125,0.005,0.02,0.025,2020
53-16-7,Estrone (E1),0.00036,205,0.0002,0.0002,0.0003,0.001,0.3,137,0.0002,0.0003,0.001,2020
608-73-1,Hexachlorocyclohexane,0.02,3942,0.0005,0.0006,0.001,0.006,0.02,2094,0.0006,0.001,0.001,2020
608-93-5,Pentachlorobenzene,0.007,15512,0.0002,0.001,0.002,0.007,0.05,4237,0.0002,0.0005,0.001,2020
62-73-7,Dichlorvos,0.0006,14201,0.0005,0.001,0.01,0.03,0.04,7952,0.0006,0.01,0.03,2020
66230-04-4,Esfenvalerate,1.7e-05,1098,0.01,0.01,0.01,0.025,0.03,1098,0.01,0.01,0.025,2020
67-66-3,Trichloromethane,2.5,20002,0.1,0.2,0.5,1,2,7612,0.5,0.5,1,2020
71-43-2,Benzene,10,20855,0.1,0.2,0.5,1,1,7710,0.2,0.5,0.5,2020
74070-46-5,Aclonifen,0.12,12709,0.0005,0.001,0.0025,0.02,0.05,8196,0.001,0.001,0.005,2020
7439-92-1,Lead and its compounds,1.2,31657,0.1,0.25,0.5,1,5,10695,0.25,0.36,0.5,2020
7440-02-0,Nickel and its compounds,2,29647,0.5,0.5,1,1.5,6,10705,0.5,0.8,1,2020
7440-22-4,Silver,0.01,3796,0.01,0.1,0.5,0.5,1,1487,0.5,1,1,2020
