station_code,country,lat,lon,n_obs
ATFW73161207,AT,47.14140,10.30430,2
ATFW73161807,AT,47.11964,10.47667,2
ATFW73190967,AT,47.23152,10.83995,2
ATFW73191817,AT,46.92980,11.00120,1
ATFW73200617,AT,47.27950,11.53382,2
ATFW73200987,AT,47.70106,12.16327,3
ATFW73210707,AT,47.22600,11.23310,2
ATFW73220507,AT,47.11130,11.45610,1
ATFW73224707,AT,47.06860,11.39430,1
ATFW73229907,AT,47.15660,11.35830,2
ATFW73290257,AT,47.17980,11.86500,1
ATFW73300407,AT,47.48590,12.03090,2
ATFW73340907,AT,47.49730,12.06320,1
ATFW73360517,AT,47.51840,12.20270,2
ATFW73390307,AT,47.46960,12.38430,2
ATFW73390507,AT,47.55710,12.45170,1
ATFW73395907,AT,47.52030,12.40290,1
ATFW77122013,AT,46.83013,12.33794,3
ATFW80112037,AT,47.13064,10.08200,3
ATFW80114017,AT,47.13120,9.85359,2
ATFW80124046,AT,47.23810,9.91905,1
ATFW80207027,AT,47.48693,9.72173,2
ATFW80211037,AT,47.43656,9.88819,1
ATFW80213067,AT,47.47858,9.66988,2
ATFW80214057,AT,47.46369,9.59504,2
ATFW80218017,AT,47.53503,9.73675,1
ATFW80222076,AT,47.52960,9.87435,1
ATFW80404017,AT,47.27404,9.53512,1
ATFW80404027,AT,47.26777,9.57458,1
ATFW80411046,AT,47.25813,9.78724,1
ATFW91400637,AT,48.21979,16.21263,2
ATFW92001017,AT,48.26190,16.37100,2
BAB0,BA,43.81670,18.28330,1
BAB01,BA,45.05400,18.43200,2
BAB02,BA,44.78900,18.06100,1
BAB11,BA,44.55000,18.08330,2
BAB7,BA,44.18330,17.93330,1
BAB8,BA,44.25000,17.86670,3
BABI2,BA,43.83880,16.95630,1
BAC1,BA,43.50100,18.78400,1
BAD01,BA,44.78100,19.34900,1
BADR-5-10,BA,43.66750,18.94610,1
BAL1,BA,43.72800,19.21100,1
BAN0,BA,43.63200,17.99930,1
BAN3,BA,43.36750,17.82930,2
BAN7,BA,43.05320,17.68390,1
BARV-B2,BA,43.88330,18.31670,5
BAS01,BA,44.88800,19.35400,1
BAS04,BA,45.13500,17.25500,2
BATR1,BA,42.70100,18.42600,1
BAU01,BA,45.09300,17.49600,1
BAU04,BA,45.01670,16.36400,1
BAU13,BA,45.04300,16.40300,2
BAUBO,BA,44.96670,16.18330,2
BAUK2,BA,45.08200,17.96000,2
BAUS1,BA,44.70100,18.05500,1
BAV02,BA,44.82200,17.22800,1
BAV2,BA,43.93330,17.58330,2
BAV4,BA,44.33330,17.26670,1
BEBR-IBGE-ZEN025,BE,50.81593,4.30341,6
BERW-00360,BE,50.51583,3.42299,12
BERW-00395,BE,50.70087,3.35222,9
BERW-00400,BE,50.72864,3.38828,17
BERW-00630,BE,50.75714,3.46444,18
BERW-00670,BE,50.75160,2.95061,11
BERW-01259,BE,50.61004,3.81287,17
BERW-01281,BE,50.73820,3.86296,16
BERW-01395,BE,50.66988,4.15717,15
BERW-01670,BE,50.77628,4.63720,20
BERW-01780,BE,50.75046,4.67166,13
BERW-02280,BE,50.44916,3.68134,20
BERW-02295,BE,50.38483,3.69110,17
BERW-02420,BE,50.61488,3.79282,23
BERW-03190,BE,,,20
BERW-03260,BE,50.49391,5.09585,23
BERW-03315,BE,50.73729,5.69026,14
BERW-03410,BE,49.52660,5.47901,13
BERW-03450,BE,50.09351,4.69104,13
BERW-03570,BE,49.71037,5.32545,16
BERW-03621,BE,49.86433,4.88413,22
BERW-03700,BE,50.04293,4.84424,23
BERW-03780,BE,50.21909,4.94580,17
BERW-03801,BE,49.98907,5.31935,6
BERW-03803,BE,50.11514,5.29752,22
BERW-03820,BE,50.13928,5.16413,12
BERW-03850,BE,50.31849,4.85640,16
BERW-03880,BE,50.30472,4.11747,15
BERW-03960,BE,50.46429,4.85594,19
BERW-04050,BE,50.36731,4.39651,18
BERW-04110,BE,50.62686,5.04417,12
BERW-04130,BE,50.55100,5.18414,20
BERW-04313,BE,50.42220,5.51574,14
BERW-04430,BE,50.48176,5.59102,11
BERW-04513,BE,50.36383,5.88617,12
BERW-04532,BE,50.40963,5.76924,6
BERW-04630,BE,50.60010,5.63322,18
BERW-04770,BE,50.14056,6.13601,21
BERW-04780,BE,50.00119,5.81032,25
BERW-04800,BE,49.86717,5.75568,15
BERW-05720,BE,50.74422,4.87185,13
BERW-11211,BE,,,21
BERW-11216,BE,,,9
BERW-11221,BE,,,14
BERW-12111,BE,49.74534,5.68541,16
BERW-12144,BE,49.81090,5.16740,20
BERW-12181,BE,49.97736,4.17286,24
BERW-12235,BE,50.40506,4.58714,13
BERW-12283,BE,50.59751,4.24273,20
BERW-12409,BE,50.75052,5.94087,16
BERW-15006,BE,50.45617,5.56608,17
BERW-15024,BE,50.46333,5.27623,11
BERW-15057,BE,50.55359,5.80467,17
BERW-15060,BE,50.29914,4.17308,14
BERW-40032,BE,50.45805,5.00144,21
BERW-40039,BE,50.33807,4.90686,13
BERW-50109,BE,,,14
BERW-50139,BE,50.02283,5.27959,8
BERW-50140,BE,50.42238,5.74697,5
BEVL-VMM-12000,BE,51.27213,3.71246,18
BEVL-VMM-122050,BE,51.12921,5.82389,7
BEVL-VMM-164000,BE,51.04082,4.12334,8
BEVL-VMM-168900,BE,51.00578,3.80358,12
BEVL-VMM-172100,BE,51.00160,3.72403,6
BEVL-VMM-212400,BE,51.02332,4.49727,13
BEVL-VMM-221000,BE,50.80278,4.64254,10
BEVL-VMM-221500,BE,50.77611,4.63732,5
BEVL-VMM-253000,BE,51.10270,4.73611,12
BEVL-VMM-272000,BE,51.18843,4.73873,5
BEVL-VMM-30000,BE,51.20761,3.80311,5
BEVL-VMM-341000,BE,51.04567,4.42210,4
BEVL-VMM-345000,BE,50.96047,4.45574,6
BEVL-VMM-346500,BE,50.91130,4.41436,5
BEVL-VMM-350100,BE,50.70967,4.21761,11
BEVL-VMM-351000,BE,51.06586,4.36510,1
BEVL-VMM-390000,BE,50.96997,4.71869,6
BEVL-VMM-426990,BE,50.95792,5.11631,15
BEVL-VMM-427000,BE,50.94875,5.12041,3
BEVL-VMM-499500,BE,51.03731,4.07721,16
BEVL-VMM-511000,BE,50.76183,3.86690,10
BEVL-VMM-581000,BE,50.80110,3.18859,3
BEVL-VMM-6000,BE,51.32546,3.22940,8
BEVL-VMM-603000,BE,50.92122,3.41373,1
BEVL-VMM-680000,BE,51.12144,2.74824,6
BEVL-VMM-72000,BE,51.50256,4.78131,9
BEVL-VMM-744000,BE,50.72071,3.36443,10
BEVL-VMM-745000,BE,50.72797,3.34664,5
BEVL-VMM-765007,BE,51.32384,3.22988,14
BEVL-VMM-768000,BE,51.07366,3.56898,5
BEVL-VMM-770000,BE,51.22209,2.94940,16
BEVL-VMM-824000,BE,50.80926,5.67230,11
BEVL-VMM-865800,BE,51.22384,2.96119,2
BEVL-VMM-91000,BE,51.26785,5.42833,17
BEVL-VMM-910000,BE,51.12675,2.80192,7
BEVL-VMM-916000,BE,50.92022,2.62289,6
BG1IS00111MS010,BG,43.70600,24.45640,3
BG1IS00119MS020,BG,43.58770,24.35870,1
BG1OS00011MS010,BG,43.67440,24.84820,2
BG1OS00715MS050,BG,43.19500,24.80470,3
BG1OS00799MS060,BG,42.95730,24.68670,1
BG1VT00011MS010,BG,43.63350,24.69760,3
BG1VT00055MS040,BG,43.30680,24.36040,3
BG1VT09931MS080,BG,42.84130,24.37380,1
BG1YN00319MS030,BG,43.38690,25.66810,2
BG1YN04111MS050,BG,43.21730,25.64170,1
BG1YN06413MS150,BG,43.22170,25.95450,1
BG2KA00819MS025,BG,43.21680,26.79028,1
BG30009019,BG,43.73730,23.88180,2
BG30010194,BG,42.92250,23.79570,1
BG30011039,BG,43.41640,24.52890,1
BG30028061,BG,43.18370,26.87050,1
BG30028066,BG,43.02010,27.88680,2
BG30028504,BG,43.14730,26.51650,2
BG30047603,BG,42.31080,27.62380,1
BG30055517,BG,42.06980,27.45360,1
BG30059243,BG,42.62760,24.97200,2
BG30060108,BG,42.13160,24.57280,1
BG30060533,BG,41.87140,25.44710,2
BG30061273,BG,41.56880,24.79770,1
BG30065123,BG,41.85690,23.13770,1
BG30065557,BG,41.56930,23.03760,1
BG3AR00041MS0110,BG,41.56780,25.38944,1
BG3AR00053MS0190,BG,41.63255,25.36480,1
BG3AR00071MS0220,BG,41.68722,25.15250,2
BG3AR00133MS0010,BG,41.58117,26.10725,2
BG3AR00159MS0040,BG,41.64171,25.86918,1
BG3MA00001MS0003,BG,41.43239,26.14668,1
BG3MA00017MS0020,BG,41.89810,25.98393,2
BG3MA00055MS0670,BG,42.15290,24.74322,2
BG3MA00077MS1060,BG,42.18467,24.31464,1
BG3MA00317MS0230,BG,42.05348,25.65498,2
BG3MA00371MS0320,BG,42.11608,25.21387,1
BG3MA00523MS0600,BG,41.94445,24.85278,1
