substance,cas,annex_i_category,eu_aa_eqs_ug_l,station_years,station_years_with_eqs,below_loq,no_flag_no_limit,loq_above_eqs,loq_above_30pct_eqs,pct_failing_legal_criterion
Non-ionised ammonia,,,,11899,0,6370,4018,0,0,
Pendimethalin,,,,11631,0,10717,794,0,0,
Barium,,,,11545,0,2537,985,0,0,
Glyphosate,,,,11496,11496,9869,184,826,7795,67.81
"1,4-dichlorobenzene",,,,11468,0,11272,195,0,0,
O-xylene,,,,11346,0,11283,55,0,0,
Bifenox,,,,11129,11129,11119,2,1959,3974,35.71
Chlorobenzene,,,,11102,0,10796,304,0,0,
Metribuzin,,,,11021,0,10532,465,0,0,
Cybutryne,,,,11015,11015,11011,0,3674,10160,92.24
Cobalt and its compounds,,,,10975,0,9349,1054,0,0,
Propazine,,,,10910,0,10000,839,0,0,
Boron,,,,10700,0,5156,628,0,0,
Chrysene,,,,10403,0,9259,550,0,0,
"Octylphenol (4-(1,1',3,3'-tetramethylbutyl)-phenol)",,,,10328,0,9357,828,0,0,
Phenanthrene,,,,10325,0,7767,360,0,0,
Fluoride,,,,10225,0,5181,38,0,0,
Ametryn,,,,10124,0,9477,643,0,0,
Pyrene,,,,10055,0,7864,506,0,0,
Mecoprop,,,,10037,0,9564,529,0,0,
Diazinon,,,,10012,0,9909,24,0,0,
Acid neutralizing capacity,,,,9977,0,110,4744,0,0,
Antimony,,,,9837,0,9503,106,0,0,
Fenitrothion,,,,9825,0,8764,998,0,0,
Metazachlor,,,,9660,0,8799,706,0,0,
Benzo(a)anthracene,,,,9651,0,8834,522,0,0,
Vanadium and its compounds,,,,9519,0,6091,1279,0,0,
"Dibenzo(a,h)anthracene",,,,9450,0,9006,430,0,0,
Molybdenum and its compounds,,,,9211,0,7945,263,0,0,
Aminomethylphosphonic acid (AMPA),,,,9030,0,6803,5,0,0,
Fluorene,,,,8945,0,7938,200,0,0,
"2,4-dichlorophenoxyacetic acid, 2-4 D",,,,8563,0,7564,811,0,0,
Dissolved organic carbon (DOC),,,,8457,0,94,5412,0,0,
Di(2-ethylhexyl)phthalate (DEHP),,,,8403,8403,7105,1348,632,4711,56.06
Metamitron,,,,8207,0,8160,39,0,0,
Pirimicarb,,,,8168,0,8063,93,0,0,
"o,p'-DDE",,,,8120,0,8004,59,0,0,
Endosulfan sulfate,,,,8002,0,7959,0,0,0,
"o,p'-DDD",,,,7792,0,7733,59,0,0,
Acenaphthene,,,,7700,0,7014,229,0,0,
4-nonylphenol,,,,7671,0,7026,470,0,0,
Chlortoluron,,,,7657,0,7446,33,0,0,
Bromacil,,,,7576,0,7030,537,0,0,
Beryllium,,,,7567,0,7153,88,0,0,
Bentazone,,,,7552,0,6267,984,0,0,
Cyanazine,,,,7126,0,6837,288,0,0,
Cypermethrin,,,,7104,7104,7059,2,7102,7102,99.97
Acenaphthylene,,,,7062,0,6785,200,0,0,
Desisopropylatrazine,,,,6988,0,6516,449,0,0,
Tin and its compounds,,,,6956,0,6568,135,0,0,
Bromodichloromethane,,,,6945,0,6827,114,0,0,
Nitrate to orthophosphate ratio,,,,6877,0,0,6877,0,0,
Desethylterbuthylazine,,,,6815,0,6300,412,0,0,
Bromoform,,,,6691,0,6686,2,0,0,
Molinate,,,,6672,0,6667,0,0,0,
Metalaxyl,,,,6627,0,6098,501,0,0,
Chloroalkanes C10-13,,,,6559,6559,6287,262,923,3796,57.87
Oxyfluorfen,,,,6325,0,6260,0,0,0,
Chlorpyrifos-methyl,,,,6200,0,5758,431,0,0,
Dibromochlorometane,,,,6186,0,6182,2,0,0,
Thiacloprid,,,,5820,5820,5816,0,1899,5726,98.38
Methoxychlor,,,,5594,0,4786,573,0,0,
"3,4-dichloroaniline",,,,5569,0,5565,0,0,0,
Oxadiazon,,,,5487,0,5361,100,0,0,
Hexazinone,,,,5424,0,4685,714,0,0,
Imidacloprid,,,,5396,5396,5163,0,4091,5306,98.33
Hydrogen cyanide,,,,5335,0,5329,0,0,0,
Thallium,,,,5213,0,4803,238,0,0,
Trietazine,,,,5201,0,5195,0,0,0,
Carbendazim,,,,5159,0,5041,0,0,0,
Meta xylene + para xylene,,,,5105,0,5102,0,0,0,
"Dichlorprop (2,4-DP)",,,,5059,0,5039,20,0,0,
"BDE 99 (2,2’,4,4’,5-pentabromodiphenyl ether)",,,,5049,0,4652,34,0,0,
Azinphos-ethyl,,,,4949,0,4949,0,0,0,
Fenamiphos,,,,4917,0,4917,0,0,0,
Hexachlorocyclohexane,,,,4895,4895,3973,864,240,892,18.22
"BDE 47 (2,2’,4,4’-tetrabromodiphenyl ether)",,,,4775,0,4637,0,0,0,
"BDE 153 (2,2’,4,4’,5,5’-hexabromodiphenyl ether)",,,,4757,0,4625,31,0,0,
BOD7,,,,4725,0,388,3438,0,0,
"BDE 100 (2,2’,4,4’,6-pentabromodiphenyl ether)",,,,4708,0,4566,0,0,0,
Chloridazon,,,,4685,0,4069,575,0,0,
"BDE 154 (2,2’,4,4’,5,6’-hexabromodiphenyl ether)",,,,4651,0,4550,0,0,0,
Imazalil,,,,4621,0,4573,0,0,0,
Tributyltin-cation,,,,4602,4602,4166,318,1388,3290,71.49
