substance,cas,annex_i_category,eu_aa_eqs_ug_l,station_years,station_years_with_eqs,below_loq,no_flag_no_limit,loq_above_eqs,loq_above_30pct_eqs,pct_failing_legal_criterion
1-methylnaphthalene,,,,233,0,221,10,0,0,
Venlafaxine,,,,232,0,163,0,0,0,
Dinoseb,,,,231,0,231,0,0,0,
Sulcotrione,,,,220,0,220,0,0,0,
Nonylphenol,,,,220,0,219,0,0,0,
Nitrophen,,,,217,0,216,1,0,0,
Ciprofloxacin,,,,216,0,182,0,0,0,
Fluconazole,,,,216,0,182,0,0,0,
Alkalinity,,,,208,0,3,0,0,0,
Estrone (E1),,,,205,205,169,0,95,187,91.22
4-chloro-2-methylphenol,,,,203,0,189,14,0,0,
Tetraconazole,,,,197,0,197,0,0,0,
17beta-estradiol (E2),,,,194,194,194,0,176,176,90.72
17alpha-ethinylestradiol (EE2),,,,194,194,194,0,176,176,90.72
Dimethenamid,,,,186,0,186,0,0,0,
Picolinafen,,,,181,0,181,0,0,0,
"Naphthalene, chloro derivatives",,,,177,0,74,90,0,0,
Famoxadone,,,,177,0,177,0,0,0,
Ipconazole,,,,176,0,170,0,0,0,
Penconazole,,,,176,0,176,0,0,0,
Miconazole,,,,174,0,173,0,0,0,
Clotrimazole,,,,174,0,173,0,0,0,
Bezafibrate,,,,173,0,171,2,0,0,
Chloroacetic acid,,,,170,0,170,0,0,0,
Hexachloroethane,,,,169,0,169,0,0,0,
Bromopho-Ethyl,,,,169,0,169,0,0,0,
Tributyltin compounds,,,,164,0,164,0,0,0,
"1,1,1,3-tetrachloropropane",,,,161,0,161,0,0,0,
Tolyltriazole,,,,160,0,160,0,0,0,
Dichlophenthion,,,,156,0,156,0,0,0,
Disulfoton,,,,155,0,155,0,0,0,
Fenbutatin oxide,,,,150,0,150,0,0,0,
Trichloroacetic acid,,,,149,0,136,12,0,0,
Triazophos,,,,148,0,148,0,0,0,
Hydrocarbons,,,,146,0,80,66,0,0,
Quizalofop,,,,146,0,146,0,0,0,
Epichlorohydrin,,,,144,0,144,0,0,0,
Acrylamide,,,,142,0,141,0,0,0,
Pentabromoethylbenzene,,,,142,0,45,70,0,0,
Dichloroacetic acid,,,,137,0,136,0,0,0,
Phoxim,,,,133,0,133,0,0,0,
Diketo-metribuzin,,,,126,0,126,0,0,0,
Demeton-S-methylsulfon,,,,126,0,93,33,0,0,
Turbidity,,,,122,0,2,0,0,0,
2-chloroethylphosphonic acid,,,,120,0,120,0,0,0,
Aminotriazole,,,,119,0,119,0,0,0,
Fluroxypyr,,,,119,0,119,0,0,0,
Microcystin,,,,102,0,102,0,0,0,
3-hydroxycarbofuran,,,,99,0,99,0,0,0,
Sulfosulfuron,,,,99,0,99,0,0,0,
"2,6-dichlorobenzoic acid",,,,96,0,96,0,0,0,
"PCB 157 (2,3,3’,4,4’,5’-hexachlorobiphenyl)",,,,95,0,33,62,0,0,
"Total DDD (DDD, o,p' + DDD, p,p')",,,,92,0,58,34,0,0,
Ziram,,,,92,0,91,1,0,0,
Nitrophenol,,,,89,0,89,0,0,0,
Phosphorothioic acid,,,,88,0,88,0,0,0,
Nitrobenzene,,,,86,0,86,0,0,0,
Fenoprop,,,,84,0,84,0,0,0,
Carbaryl,,,,81,0,81,0,0,0,
Total cyclodiene pesticides (aldrin + dieldrin + endrin + isodrin),,,,76,0,76,0,0,0,
"Polychlorinated biphenyls(7 PCB: 28,52,101,118,138,153,180)",,,,73,0,43,29,0,0,
Dipropyl phthalate,,,,73,0,73,0,0,0,
Dipentyl phthalate,,,,73,0,73,0,0,0,
Atraton,,,,72,0,72,0,0,0,
Oxamyl,,,,72,0,72,0,0,0,
Benfuracarb,,,,72,0,72,0,0,0,
Formaldehyde,,,,68,0,63,2,0,0,
Total trihalomethanes,,,,68,0,68,0,0,0,
Heptachlor and heptachlor epoxide,,,,67,0,67,0,0,0,
Piperonyl butoxide,,,,67,0,67,0,0,0,
Lithium,,,,65,0,18,14,0,0,
"PCB 156 (2,3,3’,4,4’,5-hexachlorobiphenyl)",,,,64,0,44,20,0,0,
Total phytoplankton biomass,,,,63,0,0,63,0,0,
"PCB 105 (2,3,3’,4,4’-pentachlorobiphenyl)",,,,60,0,33,27,0,0,
Mono basic phenols,,,,59,0,59,0,0,0,
4-bromophenyl phenyl ether,,,,57,0,26,31,0,0,
Oil fractions (C10-40),,,,54,0,54,0,0,0,
"TCDD (2,3,7,8-tetrachlorodibenzo-p-dioxin)",,,,53,0,17,36,0,0,
trans-Nonachlor,,,,52,0,33,12,0,0,
Cymoxanil,,,,52,0,52,0,0,0,
Surfactants (anionic),,,,51,0,49,1,0,0,
Cyanobacteria proportion,,,,48,0,0,48,0,0,
Hexabromobiphenyl,,,,45,0,45,0,0,0,
1-chloro-2-nitrobenzene,,,,43,0,43,0,0,0,
Metaflumizone,,,,42,0,42,0,0,0,
1-chloro-4-nitrobenzene,,,,42,0,42,0,0,0,
Dichlorophenol,,,,40,0,40,0,0,0,
Fipronil,,,,40,0,36,0,0,0,
"PCB 81 (3,4,4',5-tetrachlorobiphenyl)",,,,39,0,39,0,0,0,
Hexachlorocyclopentadiene (HCCP),,,,37,0,37,0,0,0,
Triphenyltin and compounds,,,,37,0,36,0,0,0,
Fludioxonil,,,,37,0,35,0,0,0,
Pentachloroanisole,,,,36,0,17,12,0,0,
Total dioxins and furans (PCDD + PCDF),,,,36,0,0,36,0,0,
Diflubenzuron,,,,36,0,36,0,0,0,
Azoxystrobin,,,,35,0,29,0,0,0,
Aniline,,,,33,0,29,0,0,0,
"PCB 114 (2,3,4,4',5-pentachlorobiphenyl)",,,,33,0,33,0,0,0,
"PCB 167 (1,2,3-trichloro-5-(2,4,5-trichlorophenyl)benzene)",,,,33,0,33,0,0,0,
"PCB 189 (1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene)",,,,33,0,33,0,0,0,
"PCB 123 (1,2,3-trichloro-5-(2,4-dichlorophenyl)benzene)",,,,33,0,33,0,0,0,
Chlorthal-dimethyl,,,,30,0,30,0,0,0,
Boscalid,,,,30,0,28,0,0,0,
Bromide,,,,27,0,12,1,0,0,
"2,4,6-tri-tert-butylphenol",,,,25,0,6,0,0,0,
"1,3,5,7,9,11-hexabromocyclododecane",,,,23,0,16,0,0,0,
Teradifon,,,,22,0,22,0,0,0,
Chlorpropham,,,,21,0,21,0,0,0,
Pyridaben,,,,21,0,21,0,0,0,
Propetamphos,,,,20,0,20,0,0,0,
Cyproconazole,,,,20,0,20,0,0,0,
Kresoxim-methyl,,,,20,0,20,0,0,0,
Lambda-Cyhalothrin,,,,20,0,20,0,0,0,
Metformin,,,,19,0,2,0,0,0,
Oxybenzone,,,,19,0,19,0,0,0,
Guanylurea,,,,19,0,7,0,0,0,
Avobenzone,,,,19,0,19,0,0,0,
Clindamycin,,,,19,0,9,0,0,0,
Ofloxacin,,,,19,0,0,0,0,0,
Octocrylene,,,,19,0,19,0,0,0,
Tritium,,,,18,0,7,0,0,0,
Dalapon,,,,17,0,17,0,0,0,
Dinitro-o-cresol (DNOC),,,,16,0,15,0,0,0,
Cyfluthrin,,,,16,0,16,0,0,0,
Buprofezin,,,,16,0,16,0,0,0,
Fluroxypyr-meptyl,,,,16,0,16,0,0,0,
Flusilazole,,,,16,0,16,0,0,0,
Methylparaoxon,,,,16,0,16,0,0,0,
Chlorothalonil,,,,16,0,16,0,0,0,
Trichloronate,,,,16,0,16,0,0,0,
Iprovalicarb,,,,16,0,16,0,0,0,
cis-Nonachlor,,,,16,0,16,0,0,0,
Prothiofos,,,,16,0,16,0,0,0,
Vinclozolin,,,,16,0,16,0,0,0,
Glufosinate,,,,16,0,16,0,0,0,
Trichlorfon,,,,16,0,16,0,0,0,
Coumaphos,,,,16,0,16,0,0,0,
Dimethomorph,,,,16,0,16,0,0,0,
Sulprofos,,,,16,0,16,0,0,0,
Propanil,,,,16,0,16,0,0,0,
Folpet,,,,16,0,16,0,0,0,
Bromopropylate,,,,16,0,16,0,0,0,
Benalaxyl,,,,16,0,16,0,0,0,
EPTC,,,,16,0,16,0,0,0,
Phorate,,,,16,0,16,0,0,0,
Quizalofop-Ethyl,,,,16,0,16,0,0,0,
Malaoxon,,,,16,0,16,0,0,0,
Fensulfothion,,,,16,0,16,0,0,0,
Aldicarb,,,,16,0,16,0,0,0,
Bronopol,,,,14,0,14,0,0,0,
"2,4,6-trinitrotoluene",,,,14,0,14,0,0,0,
Difenoconazole,,,,12,0,12,0,0,0,
Toxaphene,,,,10,0,10,0,0,0,
Cyanobacteria biomass,,,,9,0,0,9,0,0,
"1,4-dioxane",,,,9,0,9,0,0,0,
Cyprodinil,,,,9,0,9,0,0,0,
Metalaxyl-M,,,,8,0,2,5,0,0,
Methylbenzotriazol,,,,6,0,3,3,0,0,
Propachlor,,,,6,0,6,0,0,0,
2-chloroaniline,,,,6,0,6,0,0,0,
Benzo[e]pyrene,,,,6,0,6,0,0,0,
Biphenyl,,,,5,0,5,0,0,0,
Fenbuconazole,,,,5,0,5,0,0,0,
Perylene,,,,5,0,5,0,0,0,
TAME,,,,4,0,4,0,0,0,
Diclofenac sodium,,,,4,4,1,0,0,0,0.00
Benzosulfonazole,,,,3,0,2,0,0,0,
Monobutyltin,,,,3,0,3,0,0,0,
Ethylenethiourea (ETU),,,,2,0,0,2,0,0,
Extractable organically bound chlorine,,,,2,0,2,0,0,0,
Perfluorotetradecanoic acid (PFTeDA),,,,2,0,2,0,0,0,
6:2 Fluorotelomer alcohol (6:2 FTOH),,,,2,0,2,0,0,0,
"Ammonium 4,8-dioxa-3H-perfluorononanoate",,,,2,0,2,0,0,0,
8:2 Fluorotelomer alcohol (8:2 FTOH),,,,2,0,2,0,0,0,
Perfluorooctadecanoic acid (PFOcDA),,,,2,0,2,0,0,0,
Ammonium perfluoro (2-methyl-3-oxahexanoate) (HFPO-DA),,,,2,0,2,0,0,0,
Perfluorohexadecanoic acid (PFHxDA),,,,2,0,2,0,0,0,
"4,4`-dichlorobenzophenone",,,,2,0,2,0,0,0,
Hydrogen sulphide,,,,1,0,1,0,0,0,
2-chlorophenol,,,,1,0,1,0,0,0,
2-methylthiobenzothiazole,,,,1,0,1,0,0,0,
