lon,lat,country,country_pct_silent
17.49600,45.09300,BA,74.261
16.36400,45.01670,BA,74.261
16.40300,45.04300,BA,74.261
16.18330,44.96670,BA,74.261
17.96000,45.08200,BA,74.261
18.05500,44.70100,BA,74.261
17.22800,44.82200,BA,74.261
17.58330,43.93330,BA,74.261
17.26670,44.33330,BA,74.261
4.30341,50.81593,BE,23.197
3.42299,50.51583,BE,23.197
3.35222,50.70087,BE,23.197
3.38828,50.72864,BE,23.197
3.46444,50.75714,BE,23.197
2.95061,50.75160,BE,23.197
3.81287,50.61004,BE,23.197
3.86296,50.73820,BE,23.197
4.15717,50.66988,BE,23.197
4.63720,50.77628,BE,23.197
4.67166,50.75046,BE,23.197
3.68134,50.44916,BE,23.197
3.69110,50.38483,BE,23.197
3.79282,50.61488,BE,23.197
5.09585,50.49391,BE,23.197
5.69026,50.73729,BE,23.197
5.47901,49.52660,BE,23.197
4.69104,50.09351,BE,23.197
5.32545,49.71037,BE,23.197
4.88413,49.86433,BE,23.197
4.84424,50.04293,BE,23.197
4.94580,50.21909,BE,23.197
5.31935,49.98907,BE,23.197
5.29752,50.11514,BE,23.197
5.16413,50.13928,BE,23.197
4.85640,50.31849,BE,23.197
4.11747,50.30472,BE,23.197
4.85594,50.46429,BE,23.197
4.39651,50.36731,BE,23.197
5.04417,50.62686,BE,23.197
5.18414,50.55100,BE,23.197
5.51574,50.42220,BE,23.197
5.59102,50.48176,BE,23.197
5.88617,50.36383,BE,23.197
5.76924,50.40963,BE,23.197
5.63322,50.60010,BE,23.197
6.13601,50.14056,BE,23.197
5.81032,50.00119,BE,23.197
5.75568,49.86717,BE,23.197
4.87185,50.74422,BE,23.197
5.68541,49.74534,BE,23.197
5.16740,49.81090,BE,23.197
4.17286,49.97736,BE,23.197
4.58714,50.40506,BE,23.197
4.24273,50.59751,BE,23.197
5.94087,50.75052,BE,23.197
5.56608,50.45617,BE,23.197
5.27623,50.46333,BE,23.197
5.80467,50.55359,BE,23.197
4.17308,50.29914,BE,23.197
5.00144,50.45805,BE,23.197
4.90686,50.33807,BE,23.197
5.27959,50.02283,BE,23.197
5.74697,50.42238,BE,23.197
3.71246,51.27213,BE,23.197
5.82389,51.12921,BE,23.197
4.12334,51.04082,BE,23.197
3.80358,51.00578,BE,23.197
3.72403,51.00160,BE,23.197
4.49727,51.02332,BE,23.197
4.64254,50.80278,BE,23.197
4.63732,50.77611,BE,23.197
4.73611,51.10270,BE,23.197
4.73873,51.18843,BE,23.197
3.80311,51.20761,BE,23.197
4.42210,51.04567,BE,23.197
4.45574,50.96047,BE,23.197
4.41436,50.91130,BE,23.197
4.21761,50.70967,BE,23.197
4.36510,51.06586,BE,23.197
4.71869,50.96997,BE,23.197
5.11631,50.95792,BE,23.197
5.12041,50.94875,BE,23.197
4.07721,51.03731,BE,23.197
3.86690,50.76183,BE,23.197
3.18859,50.80110,BE,23.197
3.22940,51.32546,BE,23.197
3.41373,50.92122,BE,23.197
2.74824,51.12144,BE,23.197
4.78131,51.50256,BE,23.197
3.36443,50.72071,BE,23.197
3.34664,50.72797,BE,23.197
3.22988,51.32384,BE,23.197
3.56898,51.07366,BE,23.197
2.94940,51.22209,BE,23.197
5.67230,50.80926,BE,23.197
2.96119,51.22384,BE,23.197
5.42833,51.26785,BE,23.197
2.80192,51.12675,BE,23.197
2.62289,50.92022,BE,23.197
24.45640,43.70600,BG,72.200
24.35870,43.58770,BG,72.200
24.84820,43.67440,BG,72.200
24.80470,43.19500,BG,72.200
24.68670,42.95730,BG,72.200
24.69760,43.63350,BG,72.200
24.36040,43.30680,BG,72.200
24.37380,42.84130,BG,72.200
25.66810,43.38690,BG,72.200
25.64170,43.21730,BG,72.200
25.95450,43.22170,BG,72.200
26.79028,43.21680,BG,72.200
23.88180,43.73730,BG,72.200
23.79570,42.92250,BG,72.200
24.52890,43.41640,BG,72.200
26.87050,43.18370,BG,72.200
27.88680,43.02010,BG,72.200
26.51650,43.14730,BG,72.200
27.62380,42.31080,BG,72.200
27.45360,42.06980,BG,72.200
24.97200,42.62760,BG,72.200
24.57280,42.13160,BG,72.200
25.44710,41.87140,BG,72.200
24.79770,41.56880,BG,72.200
23.13770,41.85690,BG,72.200
23.03760,41.56930,BG,72.200
25.38944,41.56780,BG,72.200
25.36480,41.63255,BG,72.200
25.15250,41.68722,BG,72.200
26.10725,41.58117,BG,72.200
25.86918,41.64171,BG,72.200
26.14668,41.43239,BG,72.200
25.98393,41.89810,BG,72.200
24.74322,42.15290,BG,72.200
24.31464,42.18467,BG,72.200
25.65498,42.05348,BG,72.200
25.21387,42.11608,BG,72.200
24.85278,41.94445,BG,72.200
24.29607,42.20777,BG,72.200
23.99687,42.50233,BG,72.200
23.68503,42.27580,BG,72.200
26.19185,41.76903,BG,72.200
24.87723,42.14555,BG,72.200
24.13799,42.65831,BG,72.200
26.47327,42.05220,BG,72.200
26.51528,42.39250,BG,72.200
25.56118,42.54544,BG,72.200
23.89230,41.50149,BG,72.200
23.70000,41.71000,BG,72.200
23.32000,41.42000,BG,72.200
23.25198,41.43503,BG,72.200
22.97000,41.39000,BG,72.200
22.75000,42.49000,BG,72.200
23.03694,42.03494,BG,72.200
22.85310,42.25624,BG,72.200
7.58930,47.58990,CH,69.368
7.56432,47.18098,CH,69.368
33.08080,35.13160,CY,14.778
33.28050,35.09130,CY,14.778
33.38220,35.12320,CY,14.778
33.39450,35.01960,CY,14.778
33.53430,34.89290,CY,14.778
32.69967,34.92728,CY,14.778
32.61124,34.94089,CY,14.778
32.89530,35.03690,CY,14.778
33.01941,35.06652,CY,14.778
33.15459,35.01191,CY,14.778
33.33499,34.99482,CY,14.778
33.33779,34.87759,CY,14.778
33.24133,34.81830,CY,14.778
32.97454,34.74549,CY,14.778
32.94329,34.91222,CY,14.778
32.91140,34.77005,CY,14.778
13.15140,49.30560,CZ,3.337
17.25316,49.61351,CZ,3.337
18.16341,49.88712,CZ,3.337
18.29360,49.74810,CZ,3.337
18.42080,49.93080,CZ,3.337
15.93440,49.58440,CZ,3.337
13.40200,49.76626,CZ,3.337
15.63873,50.57280,CZ,3.337
15.95582,50.20653,CZ,3.337
15.59350,50.66487,CZ,3.337
15.69657,50.54978,CZ,3.337
15.72613,50.54146,CZ,3.337
15.75180,50.51581,CZ,3.337
15.74276,50.50373,CZ,3.337
15.87760,50.59494,CZ,3.337
15.96148,50.57640,CZ,3.337
16.02565,50.50643,CZ,3.337
16.05648,50.41096,CZ,3.337
16.21509,50.52212,CZ,3.337
16.22821,50.49375,CZ,3.337
16.18312,50.49085,CZ,3.337
15.82899,50.28862,CZ,3.337
16.46068,50.09671,CZ,3.337
15.80663,50.09477,CZ,3.337
16.29950,50.09686,CZ,3.337
16.18583,50.13005,CZ,3.337
16.60132,50.03704,CZ,3.337
16.39654,49.98870,CZ,3.337
16.39857,49.96533,CZ,3.337
16.25929,49.88696,CZ,3.337
16.25712,49.88526,CZ,3.337
15.74217,49.80277,CZ,3.337
